"Common.Name","6.afternoon.number.sites","6.dusk.number.sites","7.afternoon.number.sites","7.dawn.number.sites","7.dusk.number.sites","8.afternoon.number.sites","8.dawn.number.sites","9.afternoon.number.sites","6.afternoon.counts","6.dusk.counts","7.afternoon.counts","7.dawn.counts","7.dusk.counts","8.afternoon.counts","8.dawn.counts","9.afternoon.counts","Total"
"American Crow",8,8,11,9,7,8,11,7,48,105,114,186,102,459,96,297,1407
"American Goldfinch",10,6,13,7,5,11,11,11,180,45,157,111,18,212,163,217,1103
"American Robin",9,10,9,10,13,13,11,10,144,1706,230,3747,2105,556,2837,372,11697
"Baltimore Oriole",6,3,4,10,7,7,7,4,18,8,9,56,13,30,56,16,206
"Barred Owl",5,9,4,7,11,10,9,5,11,58,13,88,46,32,132,16,396
"Black-capped Chickadee",10,8,9,5,9,8,4,8,69,134,102,24,115,71,21,43,579
"Blue Jay",11,7,9,9,4,12,12,10,275,186,52,170,14,188,110,444,1439
"Brown Thrasher",5,6,4,10,8,7,8,3,27,167,12,527,22,12,72,31,870
"Brown-headed Cowbird",8,5,9,10,9,7,12,10,43,19,105,125,56,40,113,86,587
"Canada Goose",5,6,4,2,7,5,4,2,10,105,32,191,60,269,186,211,1064
"Carolina Chickadee",12,9,10,11,11,13,12,11,259,257,141,466,369,445,853,219,3009
"Carolina Wren",10,9,11,8,8,10,9,10,347,83,116,43,111,203,133,142,1178
"Cedar Waxwing",9,10,7,9,8,12,11,10,154,91,87,110,94,129,268,256,1189
"Chipping Sparrow",6,3,1,6,4,7,9,3,33,6,2,31,8,21,57,11,169
"Common Grackle",10,12,12,10,13,12,10,11,72,91,88,200,114,63,131,124,883
"Downy Woodpecker",7,6,5,8,7,9,6,6,43,34,13,117,35,195,52,24,513
"Eastern Bluebird",10,7,9,12,8,12,12,5,197,34,230,242,80,216,212,65,1276
"Eastern Phoebe",3,1,2,4,2,5,4,3,3,2,4,6,4,31,17,32,99
"Eastern Towhee",5,5,3,8,7,9,10,7,59,273,32,729,64,260,845,113,2375
"Eurasian Collared-Dove",5,4,5,4,6,7,6,4,25,17,24,27,16,39,20,31,199
"European Starling",9,8,9,9,9,10,10,10,258,159,367,242,225,371,630,546,2798
"Field Sparrow",8,4,4,9,4,7,11,5,54,14,17,311,29,84,180,114,803
"Fish Crow",7,5,10,7,6,11,10,9,12,13,49,22,40,72,59,99,366
"Golden-crowned Kinglet",11,9,8,8,4,8,6,9,410,33,41,38,12,43,11,35,623
"Green-winged Teal",10,9,12,8,11,9,7,10,151,36,207,18,56,159,30,48,705
"Hooded Merganser",2,NA,1,8,2,6,5,2,8,0,1,25,8,15,37,5,99
"House Finch",11,11,13,8,11,12,8,11,1526,612,1405,1404,562,1511,1280,1389,9689
"House Sparrow",9,7,12,7,9,10,8,9,2022,535,1562,965,392,1884,774,2983,11117
"Mourning Dove",8,11,8,10,12,12,14,11,295,358,185,891,282,355,603,305,3274
"Northern Cardinal",12,10,13,12,13,14,14,12,2024,1505,1920,1909,1864,2317,1758,1393,14690
"Northern Flicker",12,11,11,9,9,12,11,11,86,120,197,77,54,371,75,224,1204
"Northern Mockingbird",7,8,9,6,4,6,3,5,70,51,22,23,92,141,16,155,570
"Northern Rough-winged Swallow",6,3,4,5,2,5,6,3,9,11,8,7,2,31,21,9,98
"Pileated Woodpecker",9,7,8,7,6,10,5,10,52,47,23,29,27,160,22,62,422
"Pine Siskin",10,5,10,5,6,8,7,9,42,23,46,13,22,38,40,46,270
"Purple Finch",11,10,13,10,10,11,10,9,200,127,164,288,116,123,235,200,1453
"Purple Martin",10,7,11,8,8,9,8,7,115,46,148,59,59,108,24,114,673
"Red-bellied Woodpecker",10,9,8,11,7,10,7,10,216,43,86,144,19,173,35,120,836
"Red-breasted Nuthatch",5,7,7,4,8,9,5,9,11,13,51,7,14,28,8,24,156
"Red-headed Woodpecker",5,4,4,7,2,5,6,5,21,8,4,51,3,53,64,31,235
"Red-shouldered Hawk",9,9,8,8,5,11,6,8,78,24,72,14,14,108,21,93,424
"Red-tailed Hawk",7,7,5,4,7,8,7,10,14,14,24,9,24,15,9,34,143
"Red-winged Blackbird",4,7,6,4,7,6,3,6,13,422,48,190,476,187,265,365,1966
"Rock Pigeon",8,8,7,3,7,13,6,9,31,28,33,4,31,131,12,25,295
"Ruby-crowned Kinglet",5,7,7,7,5,7,10,8,11,13,15,26,14,27,56,27,189
"Song Sparrow",11,9,8,9,10,10,10,10,317,136,171,605,215,461,572,492,2969
"Tree Swallow",6,6,8,5,5,7,6,7,925,14,642,316,14,1137,558,304,3910
"Tufted Titmouse",11,8,10,9,9,10,9,10,1517,30,739,324,26,1400,123,703,4862
"White-breasted Nuthatch",7,9,9,6,7,7,2,4,211,46,130,65,262,161,38,104,1017
"White-throated Sparrow",12,7,8,10,10,11,13,9,139,932,349,484,446,267,430,126,3173
"Wild Turkey",5,5,7,8,7,11,7,4,13,8,10,32,12,66,15,13,169
"Yellow-throated Warbler",2,NA,4,7,1,6,8,6,19,0,23,40,1,138,28,70,319
"Total",NA,NA,NA,NA,NA,NA,NA,NA,12887,8842,10322,15828,8859,15606,14403,13008,99755
